Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1956,1,-12.4,-21.4,-16.9,-2.2,-31.7,0,43.9,43.9
1956,2,-10.4,-22.1,-16.3,2.8,-36.1,0,22.4,22.4
1956,3,-5.6,-15.9,-10.8,4.4,-31.7,0,61.7,61.7
1956,4,2.7,-4.9,-1.1,11.1,-11.7,0,14,14
1956,5,15.9,3.5,9.7,30,-4.4,83.1,0,83.1
1956,6,26,13.7,19.9,34.4,2.8,55.9,0,55.9
1956,7,23.8,11.9,17.9,28.9,3.9,92.2,0,92.2
1956,8,24.8,12.5,18.7,31.7,6.1,93.7,0,93.7
1956,9,17.3,4.7,11,29.4,-3.9,6.1,0,6.1
1956,10,14.5,2.3,8.4,26.1,-10,37.8,0,37.8
1956,11,1.7,-5.7,-2,12.8,-19.4,38.4,10.9,49.3
1956,12,-7.3,-16.9,-12.1,6.1,-33.9,0,40.4,40.4
1957,1,-13.3,-23.6,-18.5,-0.6,-33.3,0,10.7,10.7
1957,2,-7.8,-17.6,-12.7,2.8,-28.3,0,8.1,8.1
1957,3,-0.2,-9.3,-4.8,13.3,-21.7,4.1,6.6,10.7
1957,4,9.7,-1.1,4.3,28.9,-11.1,19.1,2.3,21.3
1957,5,19.2,5.8,12.5,28.3,-2.2,42.2,0,42.2
1957,6,20.3,9.4,14.9,25.6,2.8,88.1,0,88.1
1957,7,28,15.7,21.9,33.9,10.6,98,0,98
1957,8,24.2,13.6,18.9,32.2,6.7,60.7,0,60.7
1957,9,17.3,7.3,12.3,26.7,-5.6,83.8,0,83.8
1957,10,12,2.6,7.3,26.7,-8.3,19.6,0,19.6
1957,11,0.4,-6.9,-3.3,8.3,-20.6,0.5,8.6,9.1
1957,12,-3.9,-13.3,-8.6,6.7,-30,0,3,3
1958,1,-5.8,-14.9,-10.4,7.2,-27.8,0,9.1,9.1
1958,2,-8.8,-18.8,-13.8,15,-35,3.8,3.6,7.4
1958,3,2.7,-8.1,-2.7,15,-18.9,0,8.9,8.9
1958,4,12.6,-0.5,6.1,28.3,-14.4,11.7,5.3,17
1958,5,21.1,4.7,12.9,33.3,-8.9,6.9,0,6.9
1958,6,21.8,7.9,14.9,31.1,-1.1,44.2,0,44.2
1958,7,24.6,12.8,18.7,35,7.2,131.1,0,131.1
1958,8,24.9,11.2,18.1,35.6,3.3,6.1,0,6.1
1958,9,19.4,6.8,13.1,28.3,-0.6,37.3,0,37.3
1958,10,13.6,1.3,7.5,23.9,-3.9,11.2,0,11.2
1958,11,0.4,-8.9,-4.3,20.6,-30.6,11.7,92.2,103.9
1958,12,-11,-20.8,-15.9,4.4,-31.7,0,24.4,24.4
1959,1,-15.2,-24.8,-20,0.6,-33.3,0,5.3,5.3
1959,2,-11,-22.3,-16.7,1.7,-32.8,0,23.1,23.1
1959,3,-0.4,-9.7,-5.1,8.9,-22.8,0,5.6,5.6
1959,4,9.7,-1.3,4.2,22.8,-7.2,7.6,6.4,14
1959,5,15.9,4.6,10.3,30,-2.8,108.2,0,108.2
1959,6,24.2,11.8,18,35,3.9,72.6,0,72.6
1959,7,27.6,13.1,20.4,37.2,5.6,32.5,0,32.5
1959,8,26.8,13.2,20,32.8,5,78.2,0,78.2
1959,9,18.3,7,12.7,32.8,-3.3,48.5,0,48.5
1959,10,5.3,-1.1,2.1,22.2,-12.8,52.6,33.3,85.9
1959,11,-4.2,-11.7,-8,4.4,-22.2,0.8,11.4,12.2
1959,12,-2.2,-10.1,-6.2,7.2,-18.9,1.8,5.8,7.6
1960,1,-11.4,-20.3,-15.9,-0.6,-30,0,14.5,14.5
1960,2,-8.1,-17.9,-13,5.6,-25.6,0,5.1,5.1
1960,3,-4.6,-14.3,-9.5,6.7,-26.7,1.3,20.3,21.6
1960,4,7.2,-0.7,3.3,18.9,-11.1,16,35.8,51.8
1960,5,19.6,4.6,12.1,30.6,-4.4,23.1,0,23.1
1960,6,22.5,10.3,16.4,29.4,3.3,56.1,0,56.1
1960,7,27.9,13.7,20.8,36.1,5.6,33.5,0,33.5
1960,8,27.1,13.6,20.4,32.2,3.3,60.7,0,60.7
1960,9,21.7,8.7,15.2,33.9,0.6,6.9,0,6.9
1960,10,12.7,1.8,7.3,27.2,-5,39.4,0,39.4
1960,11,0.3,-6.7,-3.2,9.4,-21.1,0.5,12.7,13.2
1960,12,-8.8,-18.6,-13.7,1.1,-30.6,0,40.9,40.9
1961,1,-10.4,-20.2,-15.3,6.1,-33.9,0.8,15.5,16.3
1961,2,-5.6,-15.2,-10.4,6.1,-35.6,0,24.6,24.6
1961,3,1.3,-6.8,-2.8,12.2,-21.7,1.3,1.3,2.5
1961,4,6.9,-3.1,1.9,21.1,-12.8,18,6.6,24.6
1961,5,19.5,3.1,11.3,31.7,-6.7,17,0,17
1961,6,28.4,11.1,19.8,36.1,2.2,8.4,0,8.4
1961,7,26.2,13.9,20.1,33.9,6.1,74.7,0,74.7
1961,8,30.5,13.2,21.9,36.7,8.3,3.6,0,3.6
1961,9,17.8,5.9,11.9,29.4,-6.1,75.7,0,75.7
1961,10,13.5,1.1,7.3,29.4,-8.3,33.8,0,33.8
1961,11,3.3,-7.7,-2.2,17.8,-17.8,0,0.8,0.8
