Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1950,1,,,,,,,,
1950,2,-3.6,-15.1,-9.4,6.1,-24.4,31,71.9,102.9
1950,3,2.1,-10.1,-4,13.3,-25.6,43.2,41.9,85.1
1950,4,7.4,-0.9,3.3,12.2,-7.2,42.4,10.9,53.3
1950,5,16.1,2.6,9.4,26.1,-2.8,33,0,33
1950,6,19.3,8.1,13.7,29.4,1.7,96.5,0,96.5
1950,7,19.8,11.3,15.6,24.4,7.2,110.2,0,110.2
1950,8,20.4,11.7,16.1,26.7,7.8,142.2,0,142.2
1950,9,15.6,7.1,11.4,23.9,-0.6,16.5,0,16.5
1950,10,17.7,2.8,10.3,18.3,-5.6,59.7,12.7,72.4
1950,11,12.3,0.1,6.2,18.9,-6.7,301.8,10.2,311.9
1950,12,4.2,-4.3,-0.1,15,-21.7,169.4,25.4,194.8
1951,1,1.6,-8.7,-3.6,11.1,-28.9,69.1,48.3,117.3
1951,2,1.7,-8.4,-3.4,12.2,-26.1,116.8,25.4,142.2
1951,3,4.1,-3.7,0.2,12.8,-12.2,52.1,12.7,64.8
1951,4,9.2,2.2,5.7,13.9,-1.7,98.8,0,98.8
1951,5,14,3.3,8.7,21.1,-2.8,158.8,0,158.8
1951,6,18.2,7.6,12.9,23.3,1.7,50.3,0,50.3
1951,7,22.9,11.9,17.4,26.7,9.4,107.7,0,107.7
1951,8,20.9,12.6,16.8,24.4,7.8,206,0,206
1951,9,18.1,9.3,13.7,22.8,3.3,109.2,0,109.2
1951,10,14.4,4.4,9.4,20,-2.2,80.5,0,80.5
1951,11,8.1,-1.2,3.5,17.8,-12.2,188,5.1,193
1951,12,1.3,-9.3,-4,12.8,-25,76.5,50.8,127.3
1952,1,0.2,-11,-5.4,10,-23.3,231.1,81.3,312.4
1952,2,0.6,-8.3,-3.9,8.9,-15,27.2,81.3,108.5
1952,3,2.8,-4.7,-1,9.4,-12.2,34,15.2,49.3
1952,4,9.6,0.2,4.9,16.7,-6.7,55.1,0,55.1
1952,5,12.6,5.9,9.3,21.7,0,57.2,0,57.2
1952,6,18.7,10.3,14.5,23.3,6.1,74.7,0,74.7
1952,7,23.3,11.9,17.6,27.8,6.1,29.2,0,29.2
1952,8,22.2,12.1,17.2,26.7,5,127.5,0,127.5
1952,9,18.4,8.2,13.3,23.9,-0.6,69.3,0,69.3
1952,10,13.4,3.5,8.5,20,-5.6,78,2.5,80.5
1952,11,6.8,-0.4,3.2,15.6,-8.9,55.4,0,55.4
1952,12,0.6,-6.1,-2.8,7.8,-17.8,16,22.9,38.9
1953,1,1.3,-8.2,-3.5,10.6,-15.6,121.7,33,154.7
1953,2,0.4,-8.7,-4.2,10,-21.1,196.1,15.2,211.3
1953,3,3.3,-4.2,-0.5,12.2,-16.1,197.6,12.7,210.3
