Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1927,1,0,0,0,0,0,0,40.6,40.6
1927,2,0,0,0,0,0,0,30.5,30.5
1927,3,0,0,0,0,0,5.1,39.4,44.5
1927,4,0,0,0,0,0,0,27.4,27.4
1927,5,0,0,0,0,0,43.9,1.3,45.2
1927,6,0,0,0,0,0,27.4,0,27.4
1927,7,0,0,0,0,0,36.3,0,36.3
1927,8,0,0,0,0,0,100.3,0,100.3
1927,9,0,0,0,0,0,55.4,0,55.4
1927,10,0,0,0,0,0,24.9,0,24.9
1927,11,0,0,0,0,0,0,9.9,9.9
1927,12,0,0,0,0,0,0,11.9,11.9
1937,1,0,0,0,0,0,0,0,0
1937,2,0,-10.6,0,0,-22.8,19.8,62.2,82
1937,3,-0.2,-9.6,-4.9,6.1,-18.9,23.1,107.2,130.3
1937,4,2.9,-4.5,-0.8,11.1,-11.7,41.4,18.5,59.9
1937,5,16.1,2.8,9.5,23.3,-5,82.3,0,82.3
1937,6,19.6,9.1,14.4,30.6,2.2,60.2,0,60.2
1937,7,23.2,11.6,17.4,29.4,2.2,40.4,0,40.4
1937,8,23.1,11.6,17.4,31.7,-1.1,71.4,0,71.4
1937,9,19.2,9.2,14.2,27.2,-0.6,74.9,0,74.9
1937,10,11.4,2.4,6.9,20.6,-2.8,71.6,4.1,75.7
1937,11,4.9,-2.3,1.3,12.2,-12.2,86.9,22.1,109
1937,12,-0.7,-6.4,-3.6,10,-18.9,42.9,116.8,159.8
1938,1,-3.5,-12.8,-8.2,7.8,-22.8,15,34,49
1938,2,-6.7,-16.3,-11.5,2.8,-26.1,9.7,84.6,94.2
1938,3,-2,-11.4,-6.7,7.8,-25.6,2.3,48.8,51.1
1938,4,5,-3.4,0.8,15,-12.2,39.4,39.4,78.7
1938,5,12.1,1.4,6.8,22.8,-4.4,44.7,27.7,72.4
1938,6,20.2,8.4,14.3,28.3,2.8,122.9,0,122.9
