Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1957,1,,,,,,,,
1957,2,,,,,,,,
1957,3,,,,,,,,
1957,4,,,,,,,,
1957,5,,,,,,,,
1957,6,2.9,-4.3,-0.7,15.6,-11.1,,,
1957,7,,,,,,,,
1957,8,10.1,2.4,6.3,17.2,-2.2,,,
1957,9,,-1.1,,,-6.7,7.6,5.6,13.2
1957,10,,-8.9,,,-20,3,16.5,19.6
1957,11,-18.1,-25.8,-22,-6.7,-32.2,,,
1957,12,-32.3,-37.4,-34.9,-18.9,-44.4,,,
1958,1,,,,,,,,
1958,2,,,,,,,,
1958,3,-25.6,-31.2,-28.4,-16.1,-38.3,,,
1958,4,-17.6,-27.6,-22.6,-3.9,-38.9,0,6.4,6.4
1958,5,-2.2,-8.8,-5.5,3.3,-24.4,,,
1958,6,5.2,-1.6,1.8,12.2,-11.1,,,
1958,7,9.3,2.1,5.7,13.3,-1.1,37.1,0,37.1
1958,8,12.2,6.1,9.2,15,0,19.8,0,19.8
1958,9,6.1,0.7,3.4,11.7,-5,,,
1958,10,-2.7,-8.1,-5.4,1.1,-15.6,,,
1958,11,-16.1,-23,-19.6,-6.7,-37.2,,,
1958,12,-21.6,-28.2,-24.9,,-43.3,0,7.6,7.6
1959,1,-26.4,-34.2,-30.3,-16.7,-44.4,0,0,0
1959,2,-25.8,-32.7,-29.3,-17.8,-37.8,0,2.5,2.5
1959,3,-24.4,-33.2,-28.8,-15,-38.9,0,1,1
1959,4,-14.2,-23.6,-18.9,-4.4,-35.6,0,0,0
1959,5,-6.5,-16.7,-11.6,1.1,-27.2,,,
1959,6,2.6,-3.6,-0.5,7.8,-11.7,0,0,0
1959,7,7.9,1,4.5,15,-2.8,,0,
1959,8,5.8,0.2,3,9.4,-2.2,3,0,3
1959,9,3,-1.9,0.6,10,-8.9,,,
1959,10,-6.4,-13.1,-9.8,-2.2,-22.8,0,1.3,1.3
1959,11,-16.2,-23.7,-20,-8.3,-35,0,0,0
1959,12,-18.1,-27.1,-22.6,-7.8,-36.1,0,16.5,16.5
1960,1,,-36.8,,-13.9,-45,0,,
1960,2,,-36.2,,-22.2,-43.3,0,,
1960,3,-26.6,-34.8,-30.7,-10.6,-42.8,0,5.3,5.3
1960,4,-14.3,-22.8,-18.6,0,-35,0,3,3
1960,5,-1.9,-9.2,-5.6,3.3,-21.7,0,4.6,4.6
1960,6,,,,,,,,
1960,7,9.4,2,5.7,17.8,-0.6,21.6,0,21.6
1960,8,9.7,3.7,6.7,15.6,-1.1,,0,
1960,9,3.4,-0.6,1.4,9.4,-6.7,34.5,4.8,39.4
1960,10,-4.4,-10.5,-7.5,1.7,-19.4,0,20.3,20.3
1960,11,,,,,,,,
1960,12,-20.3,-28.4,-24.4,-10.6,-37.2,0,0,0
1961,1,,-36.8,,,-43.9,0,3.8,3.8
1961,2,,-34,,-19.4,-40.6,0,0,0
1961,3,,,,,,0,2.5,2.5
1961,4,-18.9,-25.7,-22.3,-0.6,-37.8,0,0,0
1961,5,,-12.3,,3.3,-23.3,0,0,0
1961,6,,0.3,,12.8,-3.9,2.3,0,2.3
1961,7,12.1,2.8,7.5,18.9,-1.7,30.2,0,30.2
1961,8,8.2,3.4,5.8,14.4,-2.2,29,0,29
1961,9,0.9,-3.5,-1.3,8.9,-10,0,5.1,5.1
1961,10,-9.2,-15.3,-12.3,-2.8,-22.2,0,,
1961,11,-15.7,-23.3,-19.5,-7.8,-31.1,0,,
1961,12,,-35.3,,-17.8,-42.2,0,,
1962,1,-26.1,-34.2,-30.2,-12.2,-42.2,0,0,0
1962,2,,-37.9,,,-42.8,0,0,0
1962,3,,-31.5,,,-41.7,0,,
1962,4,-14.4,-24.5,-19.5,-6.1,-32.8,0,2.5,2.5
1962,5,-8.2,-16.7,-12.5,1.7,-26.7,0,0,0
1962,6,7.4,1.6,4.5,12.8,-5,7.6,0,7.6
1962,7,11.1,4.3,7.7,17.2,0,18.8,0,18.8
1962,8,10.8,4.9,7.9,16.7,1.1,17,0,17
1962,9,4.3,-0.6,1.9,8.9,-5,3.8,0,3.8
1962,10,-2.3,-7.5,-4.9,2.2,-13.3,0,2.8,2.8
1962,11,-18.4,-25.3,-21.9,-7.8,-33.3,0,5.3,5.3
