EVENT TYPE,PLACE,EVENT,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,EVENT END DATE,UTILITY - PEOPLE AFFECTED,MAGNITUDE,YEAR,LONGITUDE,LATITUDE
Flood,Saint John River Basin NB,1902-03-01,"Saint John River Basin NB, March 1902. An unusually early break-up and downstream movement of ice cover on the Saint John River resulted from heavy rains, warm temperatures, and raised water levels. A total of 15 ice jams resulted from the raised water levels, causing extensive damage, including washouts of bridges, roads and railways. The lumber industry was also affected, where damage to mills and loss of stock were reported.",2,0,0,0,3/1/1902 12:00:00 AM,0,0,1902,,
Flood,Red River MB,1904-04-24,"Red River MB, April 24, 1904. Severe flooding in the Winnipeg area of the Red River.",0,0,0,0,4/24/1904 12:00:00 AM,0,0,1904,-97.2047,49.9099�
Flood,Chester NB,1909-01-04,"Chester NB, January 4, 1909. Mild weather caused ice to travel and possibly jam, creating floods which caused expensive damage to highway bridges and roads; a 9-year old child fell from a small bridge and drowned in a flood swollen stream near Chester.",1,0,0,0,1/4/1909 12:00:00 AM,0,0,1909,-64.7311,45.7791
Flood,North Saskatchewan River AB and SK,1915-01-01,"North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless.",0,0,2000,0,1/1/1915 12:00:00 AM,0,0,1915,-114.4734,53.3348
Flood,Northeastern New Brunswick,1915-07-08,"Northeastern New Brunswick, July 8-9 1915.",0,0,0,0,7/9/1915 12:00:00 AM,0,0,1915,-83.3903,49.1268
Flood,Winnipeg MB,1916-04-24,"Winnipeg MB, April 24, 1916. Severe flooding in the Winnipeg area of the Red River.",0,0,0,0,4/24/1916 12:00:00 AM,0,0,1916,-97.1385,49.8955
Flood,Northwestern British Columbia,1917-10-28,"Northwestern British Columbia, October 28 - November 19, 1917. Heavy rains caused major flooding along the Skeena and Nass rivers, and landslides also occured in many areas. Numerous bridges were damaged, and the Village of Aiyanish was 'wiped out': houses, crops, and provisions were washed away; cattle and horses drowned.",0,0,0,0,11/19/1917 12:00:00 AM,0,0,1917,,
Flood,Southwestern Ontario,1920-03-17,"Southwestern Ontario, March 17-21, 1920. Widespread flooding caused minor damages and flooded roads and railways.",0,0,0,0,3/21/1920 12:00:00 AM,0,0,1920,-81.1226,43.5019
Flood,Saint John River Basin NB,1922-06-17,"Saint John River basin and northeastern river basins NB, June 17-25, 1922.",0,0,0,0,6/25/1922 12:00:00 AM,0,0,1922,,
Flood,Winnipeg MB,1923-01-01,"Winnipeg MB, 1923. Severe flooding in the Winnipeg area of the Assiniboine River.",0,0,0,0,1/1/1923 12:00:00 AM,0,0,1923,-97.1385,49.8955
Flood,Saint John River Basin NB,1923-04-29,"Saint John River basin NB, April 29 - May 9 1923. Snowmelt, ice jams and heavy rainfall caused flooding in New Brunswick; flooding occurred in the Saint John River basin as well as river basins in the northeast and southwest; the situation was worsened with the creation of log jams from the lumber industry along the rivers systems; 2 dead due to drowning.",2,0,0,0,5/9/1923 12:00:00 AM,0,0,1923,,
Flood,Dawson YT,1925-05-07,"Dawson YT, May 7, 1925. Ice broke on the Klondike River on May 7, while ice broke on the Yukon River on May 9; an ice jam formed causing severe flooding up to 1.5 m high.",0,0,0,0,5/7/1925 12:00:00 AM,0,0,1925,-139.4317,64.0607
Flood,"Rideau, Chaudi?re and Quyon Rivers QC",1928-01-01,"Rideau, Chaudi?re and Quyon Rivers QC, 1928. Three people were killed by the flooding when these rivers overflowed their banks.",3,0,0,0,1/1/1928 12:00:00 AM,0,0,1928,,
Flood,Pike Lake SK,1928-04-01,"Pike Lake SK, April 1928. The Canadian Red Cross assisted in the evacuation of 138 residents.",0,0,138,0,4/1/1928 12:00:00 AM,0,0,1928,-88.3226,43.3131
Flood,Southern Ontario,1929-01-18,"Southern Ontario, January 18-20, 1929. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close.",0,0,0,0,1/20/1929 12:00:00 AM,0,0,1929,-87.3927,49.2934
Flood,Southern Ontario,1929-04-05,"Southern Ontario, April 5-9, 1929. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close in communities along the Grand and Saugeen Rivers and in Metro Toronto.",0,0,0,0,4/9/1929 12:00:00 AM,0,0,1929,-87.3927,49.2934
Flood,New Brunswick and Eastern Quebec,1933-05-04,"New Brunswick and Eastern Quebec, May 4, 1933. Snowmelt, heavy rains and ice jams contributed to flooding throughout New Brunswick and Eastern Qu?bec;  three lives were lost in Blue River, Tracey Brook (near Kedgwick), and Edmundston.",3,0,0,0,5/4/1933 12:00:00 AM,0,0,1933,,
Flood,Southern New Brunswick,1933-10-25,"Southern New Brunswick, October 25, 1933. Heavy autumn rainfall in southern New Brunswick caused extensive damage to roads, dams and bridges; seven stream drivers were swept to their death in Saint John county by the northwest branch of the Big Salmon River while trapped on a sand bar.",7,0,0,0,10/25/1933 12:00:00 AM,0,0,1933,-66.7333,44.941
Flood,Plaster Rock NB,1934-04-16,"Plaster Rock NB, April 16-24, 1934. Continuous rainfall for several days, snowmelt and an ice jam 6.4 kilometres north of Plaster Rock, New Brunswick, contributed to extensive flood damage in the Saint John River Basin;  the counties of Sunbury and York were most affected.",0,0,0,0,4/24/1934 12:00:00 AM,0,0,1934,-67.3955,46.9089
Flood,Nova Scotia,1935-01-10,"Nova Scotia, January 10-15, 1935.  Nova Scotia was hit hard by flooding caused by unusually high temperatures, torrential rains and ice jams.  Some rivers reached levels 8 to 14 metres higher than normal.  Dykes and highways were damaged, 25 bridges were destroyed, homes and businesses were inundated, homes were evacuated, roads were flooded and farm animals drowned.",0,0,2,0,1/15/1935 12:00:00 AM,0,0,1935,-63.1654,45.196
Flood,Southern Ontario,1936-03-10,"Southern Ontario, March 10-12, 1936. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close; several dams were also damaged.",0,0,0,0,3/12/1936 12:00:00 AM,0,0,1936,-87.3927,49.2934
Flood,New Brunswick,1936-03-16,"New Brunswick, March 16-25, 1936. Snowmelt, ice jams and heavy rainfall caused flooding across New Brunswick and resulted in severe damage; 22 ice jams were reported along the Saint John River basin, some extending 10 km upstream; a major ice jam formed on the Fredericton public wharf and across the Saint John River near the Fredericton Highway Bridge; 15 bridges were partially or completely destroyed; roads and railways were inundated; numerous homes, businesses and barns were flooded or destroyed; lumber mill stock and livestock were lost.",0,0,0,0,3/25/1936 12:00:00 AM,0,0,1936,-66.7502,46.5003
Flood,Southern Ontario,1937-01-13,"Southern Ontario, January 13-14, 1937. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close.",0,0,0,0,1/14/1937 12:00:00 AM,0,0,1937,-87.3927,49.2934
Flood,Southern Ontario,1937-04-26,"Southern Ontario, April 26-28, 1937. Especially on the Thames River in London; the river flooded leaving 4000 people homeless; roads and railways were flooded and businesses were closed.",0,0,4000,0,4/28/1937 12:00:00 AM,0,0,1937,-87.3927,49.2934
Flood,"Burin Peninsula, St. John's and Little St. Lawrence NL",1941-08-02,"Burin Peninsula, St. John's and Little St. Lawrence NL, August 2, 1941. Experienced the effects of flooding caused by torrential rains;  two employees of United Towns Electric Company were drowned when a dam broke; the total rainfall was reported to be 98.3 mm for a 66-hour period.",2,0,0,0,8/2/1941 12:00:00 AM,0,0,1941,-55.377,46.9529
Flood,Elgin NB,1947-02-05,"Elgin NB, February 5, 1947. Rain, mild temperatures and ice jams caused flooding of large sections of Kings County and surrounding area, New Brunswick; two children were swept away and drowned in Sheffar Brook, near Elgin, Albert County.",2,0,0,0,2/5/1947 12:00:00 AM,0,0,1947,-65.109,45.7971
