YYYY_LOCAL,MM_LOCAL,DD_LOCAL,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_N,START_LON_W,END_LAT_N,END_LON_W,LENGTH_M,WIDTH_MAX_M,HUMAN_FATAL,HUMAN_INJ,DMG_THOUS
1980,4,6,Altona,MB,0,49.105,-97.568,49.105,-97.568,,,0,0,0
1980,5,5,Stratford,ON,0,43.3856,-81.0127,43.3897,-80.9638,4190,30,0,0,0
1980,5,16,Schuler,AB,0,50.33,-110.08,50.33,-110.08,,,0,0,0
1980,5,16,Hilda,AB,1,50.478,-110.033,50.478,-110.033,,,0,0,0
1980,5,25,Creelman,SK,1,49.84,-103.63,49.84,-103.63,,,0,0,0
1980,5,16,Aden,AB,1,49.01,-111.32,49.01,-111.32,,,0,0,0
1980,5,16,Cereal,AB,1,51.417,-110.8,51.417,-110.8,,,0,0,0
1980,5,16,Hilda,AB,0,50.481,-110.023,50.481,-110.023,,,0,0,0
1980,5,16,Dubuc,SK,0,50.684,-102.471,50.684,-102.471,,,0,0,0
1980,5,16,Carnduff,SK,1,49.186,-101.808,49.186,-101.808,,,0,0,0
1980,5,16,Bellegarde,SK,1,49.528,-101.557,49.528,-101.557,,,0,0,10
1980,5,16,Quill Lake,SK,0,52.091,-104.272,52.091,-104.272,,,0,0,0
1980,5,28,16 km S of Morden,MB,0,49.19,-98.1,49.19,-98.1,,,0,0,0
1980,5,31,Georgetown to Woodbridge,ON,0,43.653,-79.9309,43.7626,-79.6432,26300,490,0,0,900
1980,6,16,Grassy Lake,AB,0,49.79,-111.71,49.79,-111.71,,,0,0,0
1980,6,9,Whitby,ON,0,43.884,-78.9713,43.8837,-78.9709,50,,0,0,1
1980,6,16,Foremost,AB,1,49.51,-111.42,49.51,-111.42,,,0,0,0
1980,6,16,Estevan,SK,0,49.13,-102.98,49.13,-102.98,,,0,0,0
1980,6,16,Invermay,SK,1,51.8,-103.15,51.8,-103.15,,,0,0,0
1980,6,23,Francis,SK,1,50.102,-103.867,50.102,-103.867,,,0,0,0
1980,6,23,Ebenezer,SK,1,51.369,-102.452,51.369,-102.452,,,0,0,0
1980,7,6,Prince Albert,SK,1,53.191,-105.721,53.191,-105.721,,,0,0,0
1980,7,10,Fairy Glen to Gronlid,SK,1,53.068,-104.483,53.068,-104.483,,,0,0,0
1980,7,16,Sylvan Lake,AB,0,52.34,-113.88,52.34,-113.88,,,0,0,0
1980,7,15,Wellesley,ON,0,43.4895,-80.7672,43.4941,-80.7497,1500,,0,0,50
1980,7,16,LaSalle,ON,1,42.2442,-83.1007,42.229,-83.027,6350,,0,0,500
1980,7,22,Roseway,NS,0,43.6333,-65.3497,43.6333,-65.3497,,130,0,0,0
1980,7,26,Fairford Reserve,MB,0,51.58,-98.71,51.58,-98.71,,,0,0,0
1980,7,28,North Battleford,SK,0,52.868,-108.287,52.868,-108.287,,,0,0,0
1980,7,29,Bowsman,MB,0,52.23,-101.2,52.23,-101.2,,,0,0,0
1980,8,8,Wheatley,ON,0,42.1066,-82.4633,42.1014,-82.4246,3250,500,0,0,0
1980,8,8,Le Petit-Aigle,QC,2,46.2403,-76.3036,46.2403,-76.3036,,,0,1,0
1980,8,9,Roberval,QC,0,48.4917,-72.252,48.4917,-72.252,,,0,0,0
1980,8,9,Maple Green,NB,0,48.016,-66.5283,48.016,-66.5283,,,0,0,0
1980,8,16,Aldersyde,AB,0,50.68,-113.84,50.68,-113.84,,,0,0,0
1980,8,11,North Woodslee,ON,0,42.2142,-82.7441,42.2274,-82.7142,2890,10,0,0,0
1980,8,11,Port Dover,ON,0,42.7833,-80.2026,42.7924,-80.175,2500,50,0,0,20
1980,8,14,Springfield,ON,0,44.3889,-76.3032,44.3842,-76.2622,3300,,0,0,0
1980,8,14,Meath,ON,0,45.72,-77.004,45.6999,-76.9634,3860,100,0,0,0
1980,8,14,Kirk Cove,ON,0,44.8,-76.9833,44.8,-76.9833,,,0,0,0
1980,8,14,London,ON,2,42.9741,-81.2117,42.9491,-81.1899,3280,,0,0,100
1980,8,14,Stanleyville,ON,0,44.7662,-76.2728,44.7662,-76.2728,,,0,0,0
