YYYYMMDDHHMM_UTC,YYYY_LOCAL,MM_LOCAL,DD_LOCAL,HHMM_LOCAL,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_N,START_LON_W,END_LAT_N,END_LON_W,LENGTH_M,MOTION_DEG,WIDTH_MAX_M,HUMAN_FATAL,HUMAN_INJ,DMG_THOUS,FORECAST_REGION,,,
19800407 0020,1980,04,06,1920,Altona,MB,0,49.1050,-97.5680,,,,,,,,,Morden - Winkler - Altona - Emerson - Morris,,,
19800506 2300,1980,05,05,2000,Stratford,ON,0,43.3856,-81.0127,43.3897,-80.9638,4190,265,30,,,,Huron - Perth,,,
19800523 ,1980,05,,,Schuler,AB,0,50.3300,-110.0800,,,,,,,,,Medicine Hat - Bow Island - Suffield,,,
19800523 ,1980,05,,,Hilda,AB,1,50.4780,-110.0330,,,,,,,,,Medicine Hat - Bow Island - Suffield,,,
19800525 2350,1980,05,25,1750,Creelman,SK,1,49.8400,-103.6300,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19800525 ,1980,05,,,Aden,AB,1,49.0100,-111.3200,,,,,,,,,Cypress Hills Provincial Park - Foremost,,,
19800525 ,1980,05,,,Cereal,AB,1,51.4170,-110.8000,,,,,,,,,Hanna - Coronation - Oyen,,,
19800525 ,1980,05,,,Hilda,AB,0,50.4810,-110.0230,,,,,,,,,Medicine Hat - Bow Island - Suffield,,,
19800525 ,1980,05,,,Dubuc,SK,0,50.6840,-102.4710,,,,,,,,,Yorkton - Melville - Esterhazy,,,
19800525 ,1980,05,,,Carnduff,SK,1,49.1860,-101.8080,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19800525 ,1980,05,,,Bellegarde,SK,1,49.5280,-101.5570,,,,,,,,10,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19800526 ,1980,05,,,Quill Lake,SK,0,52.0910,-104.2720,,,,,,,,,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake,,,
19800528 2200,1980,05,28,1700,16 km S of Morden,MB,0,49.1900,-98.1000,,,,,,,,,Morden - Winkler - Altona - Emerson - Morris,,,
19800531 1734,1980,05,31,1334,Georgetown to Woodbridge,ON,0,43.6530,-79.9309,43.7626,-79.6432,26300,245,490,0,0,900,Halton - Peel,,,
19800602 ,1980,06,,,Grassy Lake,AB,0,49.7900,-111.7100,,,,,,,,,Lethbridge - Taber - Milk River,,,
19800609 1515,1980,06,09,1115,Whitby,ON,0,43.8840,-78.9713,43.8837,-78.9709,50,315,,,,1,York - Durham,,,
19800611 ,1980,06,,,Foremost,AB,1,49.5100,-111.4200,,,,,,,,,Cypress Hills Provincial Park - Foremost,,,
19800611 ,1980,06,,,Estevan,SK,0,49.1300,-102.9800,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19800623 ,1980,06,,,Invermay,SK,1,51.8000,-103.1500,,,,,,,,,Kamsack - Canora - Preeceville,,,
19800624 0200,1980,06,23,2000,Francis,SK,1,50.1020,-103.8670,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19800624 0400,1980,06,23,2200,Ebenezer,SK,1,51.3690,-102.4520,,,,,,,,,Yorkton - Melville - Esterhazy,,,
19800706 2105,1980,07,06,1505,Prince Albert,SK,1,53.1910,-105.7210,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19800711 0430,1980,07,10,2230,Fairy Glen to Gronlid,SK,1,53.0680,-104.4830,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
19800714 ,1980,07,,,Sylvan Lake,AB,0,52.3400,-113.8800,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
