Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),
1958,1,,,,,,,,,
1958,2,,,,,,,,,
1958,3,,,,,,,,,
1958,4,,,,,,,,,
1958,5,,,,,,,,,
1958,6,,,,,,,,,
1958,7,,,,,,164.6,0,164.6,
1958,8,,,,,,43.2,0,43.2,
1958,9,,,,,,66.8,0,66.8,
1958,10,,,,,,2.8,2.3,5.1,
1958,11,,,,,,,,,
1958,12,,,,,,,,,
1959,1,,,,,,,,,
1959,2,,,,,,,,,
1959,3,,,,,,,,,
1959,4,,,,,,,,,
1959,5,,,,,,46.7,0,46.7,
1959,6,,,,,,,,156.7,
1959,7,,,,,,87.1,0,87.1,
1959,8,,,,,,145.3,0,145.3,
1959,9,,,,,,56.4,0,56.4,
1959,10,,,,,,3.6,24.6,28.2,
1959,11,,,,,,,,,
1959,12,,,,,,,,,
1960,1,,,,,,,,,
1960,2,,,,,,,,,
1960,3,,,,,,,,,
1960,4,,,,,,0,30.5,30.5,
1960,5,,,,,,54.4,0,54.4,
1960,6,,,,,,79.2,0,79.2,
1960,7,,,,,,30.2,0,30.2,
1960,8,,,,,,75.9,0,75.9,
1960,9,,,,,,26.7,0,26.7,
1960,10,,,,,,,,17.8,
1960,11,,,,,,,,,
1960,12,,,,,,,,,
1961,1,,,,,,,,,
1961,2,,,,,,,,,
1961,3,,,,,,,,,
1961,4,,,,,,,,,
1961,5,,,,,,60.2,31.5,91.7,
1961,6,,,,,,43.9,0,43.9,
1961,7,,,,,,132.8,0,132.8,
1961,8,,,,,,42.2,0,42.2,
1961,9,,,,,,36.6,15.7,52.3,
1961,10,,,,,,1.3,71.1,72.4,
1961,11,,,,,,,,,
1961,12,,,,,,,,,
1962,1,,,,,,,,,
1962,2,,,,,,,,,
1962,3,-3.6,-17.9,-10.8,8.9,-40,0,9.7,9.7,
1962,4,8.9,-0.9,4,16.1,-7.8,8.1,12.7,20.8,
1962,5,15.6,3.2,9.4,23.9,-2.8,47.8,3.8,51.6,
1962,6,20.7,7.6,14.2,30.6,0.6,20.3,0,20.3,
1962,7,22.3,8.3,15.3,30,1.1,47,0,47,
1962,8,20.8,8.6,14.7,30.6,3.9,66.3,0,66.3,
1962,9,17.4,2.6,10,26.7,-2.2,21.8,7.6,29.5,
1962,10,10.8,-0.7,5.1,18.9,-6.7,29.2,10.2,39.4,
1962,11,0.9,-7.4,-3.3,12.8,-16.1,23.4,34.3,57.7,
1962,12,-6.8,-17.2,-12,6.7,-36.7,8.1,52.1,60.2,
1963,1,-11.2,-23.2,-17.2,8.9,-37.2,10.2,38.6,48.8,
1963,2,-5.7,-15.6,-10.7,8.3,-42.8,1.3,42.2,43.4,
1963,3,-1.6,-12.1,-6.9,6.7,-31.1,0,47,47,
1963,4,8.2,-3.7,2.3,18.3,-23.9,2.3,17.8,20.1,
1963,5,15.3,2,8.7,24.4,-5,34,0,34,
1963,6,21.8,6.4,14.1,29.4,1.7,23.1,0,23.1,
1963,7,24.6,9.8,17.2,31.7,5,89.9,0,89.9,
1963,8,22.3,8.9,15.6,28.9,2.8,43.9,0,43.9,
1963,9,18.9,7.2,13.1,27.8,-1.7,29.2,0,29.2,
1963,10,13.6,-0.2,6.7,25,-9.4,0,0,0,
1963,11,-4.4,-14.5,-9.5,14.4,-41.7,6.4,34.8,41.1,
1963,12,-6.8,-17.7,-12.3,7.8,-33.9,6.4,31.8,38.1,
1964,1,-8.3,-18.7,-13.5,4.4,-38.3,0,14.7,14.7,
1964,2,2,-10.8,-4.4,8.3,-19.4,0.5,25.4,25.9,
1964,3,-6.9,-19.4,-13.2,12.2,-31.1,0,10.4,10.4,
1964,4,7.6,-3,2.3,17.2,-12.8,22.4,3.8,26.2,
1964,5,11.3,1.2,6.3,21.7,-3.3,82,16,98,
1964,6,16.5,4.6,10.6,20.6,-1.1,146.6,0,146.6,
1964,7,20.4,6.5,13.5,27.8,1.7,68.3,0,68.3,
1964,8,18.6,4.5,11.6,25,-3.3,11.9,0,11.9,
1964,9,11.4,-0.2,5.6,21.1,-8.9,38.9,22.6,61.5,
1964,10,13.5,-0.4,6.6,22.8,-15.6,3,14,17,
1964,11,-0.5,-9.9,-5.2,13.3,-26.1,0,36.8,36.8,
1964,12,-9.3,-20.4,-14.9,5.6,-35.6,0,20.3,20.3,
1965,1,-4.6,-16.5,-10.6,12.8,-35,0,8.4,8.4,
1965,2,-2,-13.6,-7.8,10,-26.1,1.5,43.9,45.5,
1965,3,-1,-16.2,-8.6,13.3,-28.9,0,43.4,43.4,
1965,4,8.5,-3.5,2.5,17.8,-13.3,1.5,48.8,50.3,
1965,5,13.8,0.3,7.1,23.3,-7.8,28.7,19.1,47.8,
1965,6,17.3,3.2,10.3,27.2,-3.9,156.5,7.6,164.1,
1965,7,22.4,7.2,14.8,27.2,3.3,198.4,0,198.4,
1965,8,21.6,7.4,14.5,28.9,-1.1,122.2,0,122.2,
1965,9,9.9,-2,4,20.6,-11.7,52.1,54.1,106.2,
1965,10,14.9,0.9,7.9,23.3,-6.7,9.4,1.5,10.9,
1965,11,3.3,-8.4,-2.6,19.4,-24.4,0.3,12.4,12.7,
1965,12,-2.3,-12.5,-7.4,10,-33.3,0,19.3,19.3,
1966,1,-5.6,-21.2,-13.4,9.4,-37.2,0,8.6,8.6,
1966,2,1.3,-11.9,-5.3,7.2,-26.1,0,10.2,10.2,
1966,3,6.5,-7.1,-0.3,18.3,-24.4,0.3,5.3,5.6,
1966,4,6.4,-6.3,0.1,18.3,-18.9,0,58.4,58.4,
1966,5,15.8,1.4,8.6,26.7,-5,39.1,16.5,55.6,
