Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1963,1,,,,,,,,
1963,2,,,,,,,,
1963,3,7.6,-1.1,3.3,13.3,-6.7,,,16.5
1963,4,13.8,1.1,7.5,22.8,-5.6,18.8,0,18.8
1963,5,,,,,,37.3,0,37.3
1963,6,21.8,8.5,15.2,31.1,3.3,97,0,97
1963,7,23.8,9.7,16.8,28.9,3.3,77.2,0,77.2
1963,8,26.2,10.7,18.5,31.7,7.2,25.9,0,25.9
1963,9,22.7,9.1,15.9,28.9,4.4,57.4,0,57.4
1963,10,12.6,3.3,8,21.7,-2.8,81,0,81
1963,11,4.8,-0.5,2.2,8.9,-9.4,78.5,12.7,91.2
1963,12,0.2,-5.3,-2.6,7.2,-16.7,,,
1964,1,1.4,-3.4,-1,8.9,-8.3,,,
1964,2,3.1,-5.5,-1.2,5.6,-10.6,,,
1964,3,5.2,-3.3,1,16.7,-13.9,26.9,15.2,42.2
1964,4,12.1,-0.8,5.7,20,-5,33.5,0,33.5
1964,5,17.5,3.7,10.6,24.4,-2.2,41.4,0,41.4
1964,6,21.1,7.3,14.2,27.2,3.9,51.6,0,51.6
1964,7,25.1,9.9,17.5,33.9,6.1,,0,
1964,8,21.8,8.4,15.1,27.2,3.9,60.7,0,60.7
1964,9,16.4,5.4,10.9,22.2,-0.6,98.3,0,98.3
1964,10,12,2.1,7.1,18.3,-1.7,33.8,0,33.8
1964,11,,,,,-8.3,,,
1964,12,,,,,,,,
1965,1,1.3,-3.9,-1.3,3.3,-10.6,0,110.2,110.2
1965,2,1.7,-5.9,-2.1,7.2,-12.2,51.3,47.8,99.1
1965,3,6.1,-7.8,-0.9,12.8,-18.3,0,22.9,22.9
1965,4,14.6,-0.3,7.2,21.1,-4.4,6.1,0,6.1
1965,5,19.2,2.8,11,25,-3.3,59.2,0,59.2
1965,6,23.3,7.3,15.3,30,1.1,35.1,0,35.1
