Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1942,1,0,0,0,0,0,0,0,0
1942,2,0,0,0,0,0,0,0,0
1942,3,0,0,0,0,0,0,0,0
1942,4,0,0,0,0,0,0,0,0
1942,5,0,0,0,0,0,0,0,0
1942,6,0,0,0,0,0,0,0,0
1942,7,0,0,0,0,0,0,0,0
1942,8,0,0,0,0,0,0,0,0
1942,9,0,0,0,0,0,0,0,0
1942,10,0,0,0,0,0,0,0,0
1942,11,6.5,-2.4,2.1,21.1,-9.4,84.3,20.6,104.9
1942,12,-1.7,-9.2,-5.5,12.8,-21.1,44.5,57.9,102.6
1943,1,-5.1,-13.6,-9.4,3.3,-26.7,7.1,28.2,35.3
1943,2,1.8,-9.1,-3.7,16.7,-27.8,59.2,54.9,114
1943,3,3.4,-5.8,-1.2,13.9,-18.9,50,52.8,102.9
1943,4,7.8,-1.6,3.1,21.7,-10,53.3,8.4,61.7
1943,5,15.8,4.9,10.4,26.7,-1.7,92.7,0,92.7
1943,6,19.8,8.8,14.3,30,2.2,115.6,0,115.6
1943,7,25.4,13.8,19.6,32.8,5.6,137.9,0,137.9
1943,8,23.1,11.7,17.4,31.1,5.6,176,0,176
1943,9,21,8.1,14.6,28.9,0,50.8,0,50.8
1943,10,14.8,5.1,10,23.9,-5.6,87.6,0,87.6
1943,11,7.3,-0.3,3.5,19.4,-8.3,146.6,20.8,167.4
1943,12,-1.3,-8.3,-4.8,5,-18.3,15.5,46.5,62
1944,1,-1,-9.8,-5.4,7.2,-21.7,8.6,38.9,47.5
1944,2,-1.8,-10.8,-6.3,8.3,-21.7,27.2,87.4,114.6
1944,3,2.2,-6.9,-2.4,13.3,-17.8,43.2,22.4,65.5
1944,4,8.9,-1.9,3.5,21.7,-9.4,56.6,9.9,66.5
1944,5,20.5,4.4,12.5,29.4,-4.4,7.1,0,7.1
1944,6,21.7,9.8,15.8,35,0,67.8,0,67.8
1944,7,26.6,12.2,19.4,33.9,3.3,43.9,0,43.9
1944,8,27.7,12.8,20.3,37.2,2.8,53.1,0,53.1
1944,9,21.1,8.7,14.9,26.1,-2.8,99.1,0,99.1
1944,10,13.3,4.2,8.8,21.7,-7.2,90.7,0,90.7
1944,11,8.2,0.5,4.4,18.3,-7.8,115.8,4.1,119.9
1944,12,2,-6.6,-2.3,9.4,-15,43.9,47.2,91.2
1945,1,-0.4,-8.6,-4.5,15,-20,50,101.1,151.1
1945,2,-0.7,-10.3,-5.5,8.9,-21.7,36.3,81.8,118.1
1945,3,6.1,-3.9,1.1,21.7,-15.6,31,11.2,42.2
1945,4,13,1.6,7.3,23.9,-7.2,50.5,0,50.5
1945,5,15.2,3.4,9.3,23.3,-7.2,175.5,0,175.5
1945,6,20.3,8.8,14.6,31.1,-1.7,161,0,161
1945,7,26.3,12.1,19.2,30.6,4.4,56.9,0,56.9
1945,8,25.9,11.2,18.6,32.8,2.8,65.8,0,65.8
1945,9,21.2,8.4,14.8,32.2,-3.3,51.1,0,51.1
1945,10,13.3,2.4,7.9,22.8,-6.7,160,0,160
1945,11,7.7,-1.4,3.2,20,-9.4,120.9,39.4,160.3
1945,12,-0.6,-8.2,-4.4,10.6,-16.7,50.3,59.4,109.7
1946,1,-0.9,-10.3,-5.6,12.2,-22.2,31.5,40.1,71.6
1946,2,-1.5,-11.4,-6.5,12.2,-25.6,82.3,74.9,157.2
1946,3,8.6,-3.4,2.6,19.4,-11.1,34.8,0.3,35.1
1946,4,7.2,-0.9,3.2,18.3,-11.1,74.7,47,121.7
1946,5,17.4,5.1,11.3,27.2,-2.2,80.8,0,80.8
1946,6,22.7,8.8,15.8,33.3,2.2,22.9,0,22.9
1946,7,25.4,10.7,18.1,31.1,3.9,55.4,0,55.4
1946,8,23.9,11.7,17.8,31.1,3.3,72.1,0,72.1
1946,9,22.2,8.8,15.5,27.8,-1.1,65,0,65
1946,10,16.6,2.7,9.7,24.4,-6.1,67.8,0,67.8
1946,11,7.4,-1.2,3.1,17.2,-11.7,56.4,0.8,57.2
1946,12,2.3,-7.8,-2.8,13.9,-19.4,80.8,69.9,150.6
1947,1,0.2,-10.1,-5,15,-22.8,76.7,27.9,104.6
1947,2,0.6,-6.4,-2.9,11.1,-15,66.5,32.8,99.3
1947,3,4.3,-3.8,0.3,12.2,-12.8,40.9,10.9,51.8
1947,4,9,-1.7,3.7,21.1,-7.8,98.3,8.6,106.9
1947,5,18.2,5.7,12,27.2,-5.6,96.3,0,96.3
1947,6,21.6,7.8,14.7,32.2,-0.6,88.9,0,88.9
1947,7,28.4,16.3,22.4,32.2,6.7,70.4,0,70.4
1947,8,26.1,11.6,18.9,33.9,0.6,27.2,0,27.2
1947,9,21.2,7.9,14.6,30.6,-4.4,67.8,0,67.8
1947,10,16.8,4.2,10.5,25.6,-4.4,16.8,0,16.8
1947,11,6.9,0.2,3.6,13.9,-10,100.6,6.4,106.9
1947,12,-0.1,-7.3,-3.7,12.2,-26.1,30.5,90.9,121.4
1948,1,-2.5,-10.3,-6.4,7.2,-27.8,75.7,102.6,178.3
1948,2,-2.9,-14.7,-8.8,11.1,-30,47.5,11.2,58.7
1948,3,2.6,-9.4,-3.4,18.3,-27.2,94.7,45.7,140.5
1948,4,8.6,-1.3,3.7,16.1,-6.7,88.1,4.6,92.7
1948,5,15.9,4.9,10.4,25.6,-4.4,156.2,0,156.2
1948,6,20.6,8.7,14.7,34.4,2.8,96.3,0,96.3
1948,7,25.7,13.1,19.4,30.6,4.4,71.4,0,71.4
1948,8,25.7,12,18.9,33.3,6.1,42.2,0,42.2
1948,9,20.3,7.6,14,30.6,-2.2,39.1,0,39.1
