Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1943,1,,,,,,,,
1943,2,,,,,,,,
1943,3,,,,,,,,
1943,4,5.6,-7.6,-1,19.4,-24.4,4.1,5.3,9.4
1943,5,9.7,-1.2,4.3,22.8,-8.3,6.4,0.3,6.6
1943,6,,,,,,,,
1943,7,,,,,,,,
1943,8,,,,,,,,
1943,9,,,,,,,,
1943,10,,,,,,,,
1943,11,-1.1,-8,-4.6,7.8,-25,0,9.1,9.1
1943,12,-10.7,-20.9,-15.8,3.9,-35,0,26.2,26.2
1944,1,-8.9,-20.6,-14.8,3.3,-33.3,0,55.9,55.9
1944,2,-16.4,-26.5,-21.5,-0.6,-42.2,0,6.4,6.4
1944,3,-7.9,-21.1,-14.5,15.6,-35.6,0,6.4,6.4
1944,4,7.3,-4.9,1.2,23.3,-28.9,0.3,0.3,0.5
1944,5,12.5,1.7,7.1,27.2,-8.3,18,0,18
1944,6,17.3,6.9,12.1,28.3,0.6,47.8,0,47.8
1944,7,20.8,10.4,15.6,29.4,2.8,34.3,0,34.3
1944,8,20.4,7.9,14.2,28.9,0.6,4.1,0,4.1
1944,9,12.7,3.8,8.3,26.1,-8.3,19.1,0.3,19.3
1944,10,7.9,-0.2,3.9,20.6,-11.7,28.2,20.3,48.5
1944,11,,,,,,,,
1944,12,-6.3,-18.1,-12.2,12.2,-33.9,0,7.9,7.9
1945,1,-15.9,-27.3,-21.6,-3.9,-40.6,0,4.8,4.8
1945,2,-12.9,-25.2,-19.1,1.1,-38.9,0,10.9,10.9
1945,3,-3.4,-19.7,-11.6,9.4,-44.4,0,2,2
1945,4,-6.1,-17.6,-11.9,5.6,-28.9,0,6.6,6.6
1945,5,,-3.4,,,-13.3,1.5,0.3,1.8
1945,6,17.4,5.2,11.3,26.7,0,16.8,0,16.8
1945,7,21.2,9.2,15.2,32.8,4.4,44.5,0,44.5
1945,8,22.7,9.3,16,33.9,3.3,9.9,0,9.9
1945,9,10.3,2.4,6.4,22.8,-7.8,34.3,0,34.3
1945,10,5.8,-1.8,2,19.4,-16.1,37.8,0,37.8
1945,11,-12.8,-21.4,-17.1,-1.7,-38.3,0,22.4,22.4
1945,12,-20.1,-30.7,-25.4,-10.6,-43.3,0,11.9,11.9
1946,1,-21.3,-31.1,-26.2,-5.6,-43.9,0,4.8,4.8
1946,2,-22.2,-32.6,-27.4,-11.7,-45.6,0,8.4,8.4
1946,3,,-16.8,,,-36.7,0,6.1,6.1
1946,4,6.6,-6.1,0.3,16.1,-18.9,2.3,3,5.3
1946,5,9.4,0,4.7,20,-7.2,31.5,4.6,36.1
1946,6,17.1,4.5,10.8,30,-3.3,12.4,0,12.4
1946,7,20.8,9.6,15.2,27.8,3.3,47.2,0,47.2
1946,8,21.7,8.9,15.3,30.6,1.1,6.1,0,6.1
1946,9,13.1,2.9,8,26.1,-6.7,29,0,29
1946,10,2.2,-3.7,-0.8,16.1,-10.6,22.9,0.5,23.4
1946,11,-10.4,-19.1,-14.8,9.4,-35.6,1.3,17.3,18.5
1946,12,-23.6,-34.3,-29,-3.3,-47.2,0,11.4,11.4
1947,1,-21.4,-30.8,-26.1,-5,-45.6,0,7.9,7.9
1947,2,-21.1,-31.6,-26.4,-5,-48.3,0,4.1,4.1
1947,3,-7.7,-17.7,-12.7,10,-37.8,0,14.2,14.2
1947,4,-3.4,-14.8,-9.1,8.9,-29.4,11.4,17.5,29
1947,5,8.4,-1.2,3.6,21.1,-6.1,13.7,11.4,25.1
1947,6,14.9,4.7,9.8,27.2,-3.9,21.8,0,21.8
1947,7,20.9,9.4,15.2,30.6,4.4,17.3,0,17.3
1947,8,16.2,6.2,11.2,27.2,0.6,48.5,0,48.5
1947,9,12.7,2.7,7.7,22.8,-6.7,30.5,0,30.5
1947,10,6.7,-0.7,3,24.4,-6.7,11.4,6.1,17.5
1947,11,-6.7,-13.4,-10.1,1.7,-26.7,0,39.1,39.1
1947,12,-13.3,-21.7,-17.5,1.1,-37.2,0,22.6,22.6
