Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1952,3,0,-7.9,-4,4.4,-17.8,0,21.6,21.6
1952,4,6.1,-1.4,2.4,15.6,-6.7,0.5,55.9,56.4
1952,5,13.5,5.4,9.5,23.3,-1.1,76.7,0,76.7
1952,6,20.3,10.1,15.2,24.4,7.8,125,0,125
1952,7,24.6,13.3,19,31.1,4.4,84.3,0,84.3
1952,8,21.1,12.2,16.7,26.7,3.9,100.6,0,100.6
1952,9,15.7,6.8,11.3,21.7,0,42.9,0,42.9
1952,10,7.3,0.8,4.1,13.3,-5.6,105.4,5.1,110.5
1952,11,2.2,-3.3,-0.6,6.7,-7.8,21.6,5.1,26.7
1952,12,-3.1,-8.3,-5.7,3.3,-22.2,31.8,86.4,118.1
1953,1,-6.9,-16.4,-11.7,3.3,-23.3,0,87.6,87.6
1953,2,-5.4,-13.7,-9.6,2.2,-28.9,0,46.2,46.2
1953,3,-1.2,-9.6,-5.4,8.9,-22.2,100.3,44.5,144.8
1953,4,6.4,0.9,3.7,12.2,-2.2,57.7,33,90.7
1953,5,13.8,4.2,9,28.9,-1.1,53.3,0,53.3
1953,6,19,8.6,13.8,27.8,2.2,72.4,0,72.4
1953,7,22.4,11.7,17.1,32.2,5.6,118.1,0,118.1
1953,8,21.4,9.3,15.4,28.9,5.6,22.4,0,22.4
1953,9,15.9,5.7,10.8,25.6,-1.1,100.1,0,100.1
1953,10,10.7,1.5,6.1,15.6,-6.7,34,0,34
1953,11,4.8,-1.5,1.7,13.9,-7.8,79.5,6.6,86.1
1953,12,-3.1,-10.1,-6.6,9.4,-24.4,37.6,69.9,107.4
1954,1,-11.2,-20.8,-16,0,-32.2,0,80,80
1954,2,-2.4,-11.3,-6.9,6.7,-30,7.6,51.3,58.9
1954,3,-1.3,-10.1,-5.7,5.6,-17.8,5.1,51.8,56.9
1954,4,5.1,-4.6,0.3,14.4,-17.8,63.5,0,63.5
1954,5,10.8,4.1,7.5,23.3,-1.1,136.7,0,136.7
1954,6,18.9,9.8,14.4,27.8,4.4,136.1,0,136.1
1954,7,19.7,11.8,15.8,28.9,8.9,131.1,0,131.1
1954,8,20.3,10.6,15.5,26.7,5.6,237,0,237
1954,9,14.6,6.6,10.6,20,3.3,106.7,0,106.7
1954,10,9.6,1.9,5.8,20,-5.6,62.2,12.7,74.9
1954,11,2.9,-3.7,-0.4,10,-15.6,140,23.4,163.3
1954,12,-3.7,-11.2,-7.5,2.2,-17.8,22.4,124.5,146.8
1955,1,-9.1,-16.1,-12.6,1.1,-31.1,0,100.3,100.3
1955,2,-6.2,-15,-10.6,3.3,-33.3,0,57.2,57.2
1955,3,-2.4,-11.3,-6.9,6.7,-24.4,17.3,192.3,209.6
1955,4,6.3,-1.8,2.3,12.2,-7.8,87.6,0,87.6
1955,5,12.4,4.3,8.4,20,0,69.9,0,69.9
1955,6,20.7,10.6,15.7,32.2,5.6,87.6,0,87.6
1955,7,23.5,12.8,18.2,33.3,4.4,58.9,0,58.9
1955,8,21.8,11.7,16.8,27.8,6.7,67.6,0,67.6
1955,9,15.6,5.2,10.4,22.2,-0.6,159.8,0,159.8
1955,10,9.9,1.7,5.8,20,-4.4,47.8,7.9,55.6
1955,11,1.9,-3.2,-0.7,7.8,-11.1,20.8,38.1,58.9
1955,12,-7.9,-15.2,-11.6,-1.1,-27.8,0,35.6,35.6
1956,1,-3.7,-10.2,-7,3.3,-23.3,0,54.6,54.6
1956,2,-6.2,-14.6,-10.4,0,-21.1,0,69.9,69.9
1956,3,-3.4,-13.5,-8.5,3.3,-21.1,0,47.8,47.8
1956,4,5.2,-2.3,1.5,8.9,-6.7,66.3,15.2,81.5
1956,5,10.3,0.3,5.3,17.8,-6.7,45.7,3.8,49.5
1956,6,18.2,7.5,12.9,26.7,3.3,56.4,0,56.4
1956,7,19.8,10.8,15.3,25.6,5,127,0,127
1956,8,19.7,10.1,14.9,25.6,5.6,79,0,79
1956,9,13.7,5.1,9.4,22.2,0,192,0,115.3
1956,10,10.1,1.2,5.7,18.3,-7.8,30.7,0,30.7
1956,11,3.1,-5.6,-1.3,18.3,-12.2,7.6,31.8,39.4
1956,12,-6.6,-15.9,-11.3,4.4,-27.8,0,71.1,71.1
1957,1,-11.5,-22.7,-17.1,5.6,-35.6,12.2,17.8,30
1957,2,-5.9,-13.8,-9.9,-1.1,-25.6,0,61,61
1957,3,0.6,-8.8,-4.1,6.7,-20,56.4,17.8,74.2
1957,4,6,-3.6,1.2,17.8,-14.4,53.2,10.7,58.2
1957,5,13.9,2.4,8.2,22.2,-7.8,14.7,0,14.7
1957,6,17.9,6.9,12.4,27.8,-1.1,125.2,0,125.2
1957,7,21.2,11.7,16.5,26.7,8.9,70.9,0,70.9
1957,8,19.6,9.7,14.7,27.8,2.2,43.4,0,43.4
1957,9,15.7,6.8,11.3,21.1,2.2,192,0,192
1957,10,10.6,2.1,6.4,20,-6.7,75.9,0,75.9
1957,11,3.1,-3,0.1,11.1,-17.8,76.5,8.9,85.3
1957,12,-1.6,-10.3,-6,10,-17.8,36.8,87.6,124.5
1958,1,-4.9,-13.9,-9.4,1.1,-24.4,0,125.7,125.7
1958,2,-5.9,-13.8,-9.9,-1.1,-25.6,0,61,61
1958,3,2.1,-4.3,-1.1,6.7,-7.8,56.4,17.8,74.2
1958,4,5,-1.2,1.5,8,-5.6,53.1,5.1,58.2
1958,5,12.6,2.4,7.5,20,-5.6,45,0,45
1958,6,16.1,6.5,11.3,24.4,1.1,116.1,0,116.1
1958,7,21.6,10.9,16.3,26.7,4.4,121.7,0,121.7
1958,8,19.6,10.4,15,27.8,3.3,165.4,0,165.4
