Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm)
1980,1,-10.3,-20.2,-15.3,6,-38,0,24,24,4
1980,2,-5.3,-15.5,-10.4,5,-26,0,7.5,7.5,5
1980,3,0.4,-10.2,-4.9,12,-27,4,21,25,0
1980,4,17.4,2.1,9.8,31.5,-6,2,0,2,0
1980,5,21.9,5.6,13.8,34,-2,14.4,0,14.4,0
1980,6,22.6,9.6,16.1,30,4,48.3,0,48.3,0
1980,7,25.3,11.4,18.4,33.5,4,46.6,0,46.6,0
1980,8,21.8,8.8,15.3,30,3,36.6,0,36.6,0
1980,9,19.7,5,12.4,33,-4,23,0,23,0
1980,10,12.6,0.8,6.7,28,-7,42,1,43,0
1980,11,5,-5.8,-0.4,16,-20,0,15,15,0
1980,12,-7.2,-17,-12.1,11,-38,1,31.5,32.5,0
1981,1,0.2,-9.3,-4.6,8.5,-15,0,13.5,13.5,10
1981,2,-2.6,-11.5,-7.1,9,-31,0,0,0,0
1981,3,7.9,-4.2,1.9,16,-17,0,8.3,8.3,
1981,4,13.7,-0.9,6.4,23.5,-10,0,9,9,0
1981,5,19,5.8,12.4,27,-1.5,38.3,0,38.3,0
1981,6,20.4,7.4,13.9,30,4,118.7,0,118.7,0
1981,7,25.3,11.9,18.6,33,6,31.1,0,31.1,0
1981,8,28.7,12.8,20.8,33,0,11.2,0,11.2,0
1981,9,21.7,6.1,13.9,34.5,-4,10,0,10,0
1981,10,10.5,-1,4.8,22,-11,4,26,30,0
1981,11,5.8,-4.6,0.6,22,-16,3,9,12,2
1981,12,-5,-13.1,-9.1,7,-30,0,10,10,4
1982,1,-17,-27.6,-22.3,5.5,-37.5,1,23,24,14
1982,2,-7.9,-17.6,-12.8,6,-32.5,0,18,18,10
1982,3,-1.8,-10.5,-6.2,9,-22,0,25,25,0
1982,4,8.3,-3.5,2.4,25,-18,5,10,15,0
1982,5,14.7,3.6,9.2,26,-6,62.6,24,86.6,0
1982,6,21.9,8.9,15.4,31,2.5,31.9,0,31.9,0
1982,7,23.8,11.6,17.7,32,5,95.7,0,95.7,0
1982,8,24.3,9.5,16.9,32,4,28.5,0,28.5,0
1982,9,18.3,5.1,11.7,31,-3,17,21,38,
1982,10,12.3,0.1,6.2,22,-9,4,6,10,0
1982,11,-1.8,-12.2,-7,8,-25,0,7.5,7.5,0
1982,12,-3.4,-11.6,-7.5,5,-26,0,14.5,14.5,12
1983,1,-3.9,-13.1,-8.5,5,-30,0,9,9,7
1983,2,-1,-9.2,-5.1,11,-22,0,11,11,3
1983,3,2.1,-5.5,-1.7,15,-18,4,16.5,20.5,
1983,4,9.7,-1.9,3.9,23,-17,21,16,37,0
1983,5,17.1,3.3,10.2,31,-9,7.5,0,7.5,0
1983,6,22.9,9.2,16.1,31,1.5,43,0,43,0
1983,7,25.5,11.7,18.6,35,5,148,0,148,0
1983,8,29.2,12.8,21,38,5,29,0,29,0
1983,9,17.6,4.9,11.3,35,-6,4,8,12,0
1983,10,14,0.5,7.3,25,-6,4,0,4,0
1983,11,1.2,-5.5,-2.2,17,-20,3,13.5,16.5,12
1983,12,-16.4,-26.8,-21.6,-4,-43,0,16.3,16.3,14
1984,1,-4.7,-14.1,-9.4,6,-35,0,16,16,
1984,2,3.2,-6.4,-1.6,7,-15,0,4,4,0
1984,3,1.1,-7.4,-3.2,11,-17,3,10,13,0
1984,4,14.8,0.4,7.6,27,-6,10.5,10.5,21,
1984,5,17.6,3.9,10.8,32,-4,27.5,0,27.5,0
1984,6,22.6,9.6,16.1,37,4,64,0,64,0
1984,7,28.8,11.6,20.2,37,4,34.5,0,34.5,0
1984,8,29.2,12.5,20.9,38,2,9.3,0,9.3,0
1984,9,14.8,3.6,9.2,34,-6,41,8,49,0
1984,10,8,-2.9,2.6,27,-25,0,37,37,
1984,11,-1.3,-10,-5.7,12,-27,0,9,9,
1984,12,-12.1,-22.2,-17.2,5,-39.5,0,29,29,13
1985,1,-8.1,-18,-13.1,6,-38,0,2.5,2.5,9
1985,2,-7.1,-18.5,-12.8,4,-38,0,11.5,11.5,10
1985,3,2.2,-7.9,-2.9,14,-20,0,21,21,12
1985,4,12,0.7,6.4,23,-3,17.5,6,23.5,
1985,5,21.4,5.7,13.6,30,-1,31,0,31,0
1985,6,22.2,5.7,14,32.5,-4,12.6,0,12.6,0
1985,7,28.5,10.7,19.6,37,6,24,0,24,0
1985,8,23.8,9.1,16.5,32,2,39,0,39,0
1985,9,13,3,8,25,-7,32.5,0,32.5,0
1985,10,11.7,-1.3,5.2,22,-10,6.5,3,9.5,0
1985,11,-8.7,-18.1,-13.4,13,-36,1,11,12,9
1985,12,-4,-14.9,-9.5,4.5,-35,0,29,29,
1986,1,0.2,-7.2,-3.5,9,-20,0,0,0,
1986,2,-6.1,-16.5,-11.3,11,-36,0,23,23,
1986,3,7.1,-2.8,2.2,21,-16,2,17,19,0
1986,4,11.5,-1.9,4.8,22.5,-15,8,2,10,0
1986,5,18.1,5.9,12,35,-3.5,61.5,20,81.5,0
1986,6,24.4,10.3,17.4,33,5,45.5,0,45.5,0
1986,7,23.6,10.9,17.3,34,8,95,0,95,0
1986,8,25.5,10.5,18,34,3.5,28.5,0,28.5,0
1986,9,13.8,4.5,9.2,25,-1,78,0,78,0
1986,10,13.7,1.6,7.7,23,-8,18.5,5,23.5,3
1986,11,-2.3,-11.4,-6.9,10,-27,0,8,8,
1986,12,-0.1,-9.8,-5,5,-25,0,6.5,6.5,
1987,1,0.2,-10.1,-5,8,-23,0,3,3,
1987,2,1.6,-7.8,-3.1,8,-22,0,8,8,
1987,3,3.8,-5.6,-0.9,21,-18,0,19,19,
1987,4,16.8,1.8,9.3,29,-4,4,2,6,0
1987,5,21.8,6.8,14.3,30,0,27,0,27,0
1987,6,26.8,10.6,18.7,37,4,23,0,23,0
1987,7,25.5,11.8,18.7,35,4.5,87,0,87,0
1987,8,21,9,15,29,2,58,0,58,0
1987,9,23,6.7,14.9,33,0,9,0,9,0
1987,10,14.7,-0.2,7.3,29,-14,2,0,2,0
1987,11,7.9,-4.6,1.7,17,-14,0,2,2,0
1987,12,-0.6,-10.2,-5.4,12.5,-27,2,5,7,4
1988,1,-7.2,-17.4,-12.3,6,-37,0,5,5,3
1988,2,-3.1,-14.5,-8.8,16,-35,0,14,14,
1988,3,6.7,-5,0.9,17,-15,0,10,10,
1988,4,14.7,-1.6,6.6,26,-8.5,4,0,4,0
1988,5,23.5,7.4,15.5,35,-1,16,0,16,0
1988,6,29,13.8,21.4,38.5,6,42,0,42,0
1988,7,28.1,11.7,19.9,37,8,32,0,32,0
1988,8,24.5,10.6,17.6,32,4,45,0,45,0
1988,9,18.5,5.8,12.2,35,0,28,0,28,0
1988,10,14.5,0.2,7.4,28,-15,3,0,3,0
1988,11,1.4,-7.9,-3.3,18,-25,0,4,4,
1988,12,-4.5,-13.2,-8.9,12,-34,0,18,18,15
1989,1,-5.2,-16.3,-10.8,5,-36,0,10,10,6
1989,2,-11,-20.9,-16,5,-38,3,16,19,
1989,3,-1.9,-11.2,-6.6,11,-30,0,6,6,
1989,4,11.8,-0.7,5.6,27,-11,22,2,24,0
1989,5,17.9,4.6,11.3,29,-5,54,0,54,0
1989,6,24.2,9.4,16.8,35.5,3,41,0,41,0
1989,7,28.5,13.5,21,35,8,35,0,35,0
1989,8,23.9,11.9,17.9,34,5,58,0,58,0
1989,9,18.3,6.6,12.5,27,-1,22,0,22,0
1989,10,12.9,0.1,6.5,22,-10,3,0,3,
1989,11,2.3,-6.8,-2.3,12.5,-25,0,10,10,
1989,12,-5.6,-14.1,-9.9,8,-41,0,16,16,2
1990,1,-2.1,-10.9,-6.5,5,-32,0,6,6,4
1990,2,-3.3,-13.9,-8.6,9,-36,0,4,4,
1990,3,7,-4.2,1.4,17,-16,0,14,14,
1990,4,11.9,-1.8,5.1,26,-12,10,8,18,
1990,5,18.5,5,11.8,27,-4,22,0,22,0
1990,6,24.3,9.8,17.1,39,2,33,0,33,0
1990,7,25.4,11.2,18.3,33,6,76,0,76,0
1990,8,26,12.5,19.3,36,6,7,0,7,0
1990,9,24.7,7.1,15.9,32,-2,0,0,0,0
1990,10,12.2,-1.5,5.4,22,-9,3,0,3,
1990,11,0.8,-9.9,-4.6,16,-24.5,2,3,5,0
1990,12,-8.7,-20.6,-14.7,12,-41,0,22,22,15
1991,1,-8.7,-18.5,-13.6,4,-36,0,6,6,8
1991,2,3.3,-4.9,-0.8,12,-18,0,6,6,
1991,3,3.8,-7.4,-1.8,18,-24,0,9,9,
1991,4,13.2,0.5,6.9,24,-6,2,53,55,
1991,5,17.7,5,11.3,28,-5,57,0,57,
1991,6,21.6,10.5,16.1,30,4,101,0,101,0
1991,7,26,12,19,32,7,34,0,34,0
1991,8,29.1,13.1,21.1,38,8,27,0,27,0
1991,9,20.6,6.2,13.4,30.5,-7,2,0,2,0
1991,10,9.3,-3.8,2.7,28,-27,0,12,12,
1991,11,0.8,-10,-4.6,14,-25,0,8,8,4
1991,12,-1.6,-12.4,-7,5,-27,0,10,10,4
1992,1,-0.8,-10.8,-5.8,10,-27,0,11,11,0
1992,2,1.3,-8.9,-3.8,17,-22,0,2,2,0
1992,3,9.5,-3.7,2.9,19,-12,0,3,3,
1992,4,14.5,0.1,7.3,27.5,-13,8,0,8,0
1992,5,17.9,4.6,11.3,31.5,-1,40,2,42,0
1992,6,22.8,10.4,16.6,34,1.5,37.5,0,37.5,0
1992,7,22.6,10.5,16.5,29.5,7,72,0,72,0
1992,8,23.1,9.6,16.4,35,0,66,0,66,0
1992,9,17.7,4.2,11,33,-4,24.5,0,24.5,0
1992,10,12,0.1,6.1,30,-10,6,4,10,0
1992,11,1.8,-5.3,-1.7,9.5,-14.5,2,13,15,5
1992,12,-9.8,-18.7,-14.3,4,-40,0,11,11,12
1993,1,-10.6,-21.1,-15.8,7,-40,0,1,1,7
1993,2,-6.6,-17.1,-11.9,6,-30,0,4,4,6
1993,3,3.8,-4.9,-0.6,21,-25,21,16,37,
1993,4,12.8,0.1,6.5,19,-6,5,0,5,0
1993,5,20.9,5.3,13.1,32.5,-1,19.5,0,19.5,0
1993,6,21.2,8.7,14.9,33.5,3,102,0,102,0
1993,7,21.7,9.9,15.8,35,2.5,42,0,42,0
1993,8,23.2,9.9,16.6,32,3.5,57,0,57,0
1993,9,18.3,4.2,11.2,27,-3.5,51,0,51,0
1993,10,12.3,-0.4,5.9,25,-7,7,2,9,0
1993,11,0.4,-9.1,-4.4,10,-27,6,18,24,
1993,12,-2.4,-10.8,-6.6,5.5,-27,0,12,12,10
1994,1,-11.4,-20.4,-15.9,3.5,-35,0,26.7,26.7,20
1994,2,-12.8,-22.9,-17.9,3,-40,0,15,15,22
1994,3,5.1,-3.9,0.6,21,-16,0,0,0,0
1994,4,13.4,-0.1,6.7,25,-9,4,0,4,0
1994,5,19.2,6.5,12.8,28,0.5,48,0,48,0
1994,6,22.3,9.4,15.8,31,4,61.5,0,61.5,0
1994,7,27.4,11.5,19.5,35.5,4,3,0,3,0
1994,8,26.1,11.7,18.9,36,2.5,13.5,0,13.5,0
1994,9,24.1,7.8,15.9,33,2,14,0,14,0
1994,10,11.8,1.2,6.5,26,-8,41,0,41,0
1994,11,3.2,-8.9,-2.8,11,-23,0,11,11,10
1994,12,-2.3,-11.5,-6.9,10,-25,0,3,3,3
1995,1,-7.6,-16.4,-12,5,-28,0,7,7,7
1995,2,-1.9,-12.3,-7.1,12,-25,0,0,0,0
1995,3,3.7,-8.5,-2.4,19,-27,0,9,9,2
1995,4,8.2,-2.7,2.8,15,-13,26,10,36,0
