Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1925,1,,-43.2,,,-57.2,,,
1925,2,-18.9,-38.2,-28.6,-5,-54.4,,,
1925,3,-5.2,-24.7,-15,2.2,-38.9,,,
1925,4,6.1,-10.9,-2.4,9.4,-25.6,,,
1925,5,17.4,-0.2,8.6,22.2,-7.8,,,
1925,6,21.8,6.4,14.1,27.8,1.7,57.4,0,57.4
1925,7,22.7,6.4,14.6,33.3,2.2,37.6,0,37.6
1925,8,,,,,,,,
1925,9,14.3,-0.8,6.8,22.2,-8.9,5.1,1.3,6.4
1925,10,3.8,-5.6,-0.9,13.9,-20.6,9.7,14.7,24.4
1925,11,-5.8,-13.8,-9.8,3.3,-30.6,0,12.2,12.2
1925,12,-10.9,-20.7,-15.8,6.1,-40,0,15.2,15.2
1926,1,-6.3,-14.8,-10.6,6.7,-25.6,0,7.6,7.6
1926,2,-12.1,-23.4,-17.8,-1.1,-43.9,0,36.3,36.3
1926,3,3.1,-10.7,-3.8,11.1,-24.4,0,3.3,3.3
1926,4,8.8,-4.3,2.3,15,-20,39.6,5.1,44.7
1926,5,14.9,2.2,8.6,20,-2.8,16,0,16
1926,6,22,5.5,13.8,27.8,0.6,6.9,0,6.9
1926,7,22.3,7.1,14.7,27.8,3.3,60.5,0,60.5
1926,8,20.3,4.2,12.3,26.7,-2.8,10.2,0,10.2
1926,9,14.1,-1.7,6.2,20.6,-12.8,19.1,0,19.1
1926,10,,,,,,,,
1926,11,-9.1,-18.3,-13.7,5,-37.8,0,3.8,3.8
1926,12,,,,,,,,
1927,1,,-33.8,,,-47.2,0,11.4,11.4
1927,2,,-22.8,,3.3,-43.9,0,3.8,3.8
1927,3,0,-14.8,-7.4,6.1,-24.4,0,0,0
1927,4,1.8,-12.6,-5.4,12.2,-36.1,10.7,0,10.7
1927,5,13.6,0.7,7.2,19.4,-6.7,14.5,0,14.5
1927,6,21.7,6.1,13.9,26.1,-2.2,41.1,0,41.1
1927,7,26,7.3,16.7,31.7,1.7,15.5,0,15.5
1927,8,21.9,5.3,13.6,30,-1.7,58.4,0,58.4
1927,9,11.2,-0.1,5.6,18.3,-11.7,30.2,5.1,35.3
1927,10,0.9,-7.9,-3.5,8.3,-24.4,0,12.7,12.7
1927,11,-22,-28.9,-25.5,-3.9,-45,0,10.9,10.9
1927,12,,-36.3,,,-50,0,23.6,23.6
1928,1,,-25.6,,,-39.4,0,21.8,21.8
1928,2,,-24.7,,,-37.2,0,5.3,5.3
1928,3,,-21.1,,,-43.9,0,11.9,11.9
1928,4,2.8,-12.4,-4.8,14.4,-30,19.1,2.5,21.6
1928,5,13.6,0.6,7.1,18.3,-6.7,22.4,0,22.4
1928,6,22.7,5.9,14.3,29.4,1.7,40.4,0,40.4
1928,7,23.3,6.4,14.9,28.9,-2.8,15.5,0,15.5
1928,8,19.1,3.1,11.1,30,-6.7,16.5,0,16.5
1928,9,11.1,-1.7,4.7,20,-12.2,27.4,1.3,28.7
1928,10,0.2,-7.7,-3.8,6.7,-16.7,5.3,10.4,15.7
1928,11,-2.9,-13.4,-8.2,10,-26.7,1.3,5.8,7.1
1928,12,-10.3,-20.4,-15.4,3.3,-38.9,0,10.2,10.2
1929,1,-18.6,-27,-22.8,-2.8,-43.3,0,21.8,21.8
1929,2,-12.3,-22.9,-17.6,-0.6,-42.2,0,18,18
1929,3,-5.9,-19.6,-12.8,7.8,-33.3,0,12.7,12.7
1929,4,3.4,-9.3,-3,12.2,-35.6,0.8,1.3,2
1929,5,12.6,-0.2,6.2,20.6,-6.7,20.1,0,20.1
1929,6,21.1,6.5,13.8,26.1,1.1,21.3,0,21.3
1929,7,19.2,7.9,13.6,25.6,-1.7,64.3,0,64.3
1929,8,18.9,3.9,11.4,29.4,-2.2,23.9,0,23.9
1929,9,15.4,1.2,8.3,23.3,-7.2,28.2,0,28.2
1929,10,6.6,-2.3,2.2,16.1,-12.2,9.7,5.3,15
1929,11,-7,-15.2,-11.1,0.6,-30,0,34.3,34.3
