FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,SRC_AGY2
0,BC,1950-G00026, ,59.876,-131.922,1950,6,4,1950-06-04 0:00,,,1950-1959,12949.9,H, ,Fire, ,BC-1950-1950-G00026, , ,2020-05-05 0:00,905,177,12,12,BC
1,BC,1951-R00097, ,59.76,-132.808,1951,7,15,1951-07-15 0:00,,,1950-1959,241.1,H, ,Fire, ,BC-1951-1951-R00097, , ,2020-05-05 0:00,905,177,12,12,BC
2,BC,1950-G00035, ,57.463,-122.816,1950,6,14,1950-06-14 0:00,,,1950-1959,2071.9,L, ,Fire, ,BC-1950-1950-G00035, , ,2020-05-05 0:00,252,66,4,4,BC
3,BC,1953-G00043, ,57.684,-121.925,1953,5,1,1953-05-01 0:00,,,1950-1959,7834.7,H, ,Fire, ,BC-1953-1953-G00043, , ,2020-05-05 0:00,252,66,4,4,BC
4,BC,1950-R00029, ,59.318,-133.228,1950,6,22,1950-06-22 0:00,,,1950-1959,5179.9,L, ,Fire, ,BC-1950-1950-R00029, , ,2020-05-05 0:00,918,180,12,12,BC
5,BC,1951-R00101, ,59.713,-134.172,1951,8,7,1951-08-07 0:00,,,1950-1959,894.7,H, ,Fire, ,BC-1951-1951-R00101, , ,2020-05-05 0:00,918,180,12,12,BC
6,BC,1951-R00129, ,59.876,-133.478,1951,9,1,1951-09-01 0:00,,,1950-1959,550.3,H, ,Fire, ,BC-1951-1951-R00129, , ,2020-05-05 0:00,918,180,12,12,BC
7,BC,1950-G00049, ,58.818,-122.729,1950,6,18,1950-06-18 0:00,,,1950-1959,424.9,L, ,Fire, ,BC-1950-1950-G00049, , ,2020-05-05 0:00,244,64,4,4,BC
8,BC,1950-G00012, ,58.847,-125.229,1950,5,5,1950-05-05 0:00,,,1950-1959,841.7,H, ,Fire, ,BC-1950-1950-G00012, , ,2020-05-05 0:00,933,183,12,12,BC
9,BC,1952-R00052, ,57.626,-131.729,1952,6,24,1952-06-24 0:00,,,1950-1959,2201.4,H, ,Fire, ,BC-1952-1952-R00052, , ,2020-05-05 0:00,917,179,12,12,BC
10,BC,1951-R00038, ,58.184,-130.729,1951,5,15,1951-05-15 0:00,,,1950-1959,12949.9,H, ,Fire, ,BC-1951-1951-R00038, , ,2020-05-05 0:00,922,180,12,12,BC
11,BC,1952-R00040, ,57.905,-131.066,1952,4,1,1952-04-01 0:00,,,1950-1959,9761,H, ,Fire, ,BC-1952-1952-R00040, , ,2020-05-05 0:00,922,180,12,12,BC
12,BC,1950-G00113, ,56.789,-122.07,1950,7,29,1950-07-29 0:00,,,1950-1959,99767.297,H, ,Fire, ,BC-1950-1950-G00113, , ,2020-05-05 0:00,585,137,9,9,BC
13,BC,1950-G00118, ,56.713,-121.82,1950,7,29,1950-07-29 0:00,,,1950-1959,1035.9,H, ,Fire, ,BC-1950-1950-G00118, , ,2020-05-05 0:00,585,137,9,9,BC
14,BC,1950-G00133, ,56.789,-121.32,1950,8,26,1950-08-26 0:00,,,1950-1959,76663.703,H, ,Fire, ,BC-1950-1950-G00133, , ,2020-05-05 0:00,585,137,9,9,BC
15,BC,1950-G00014, ,56.568,-120.98,1950,5,23,1950-05-23 0:00,,,1950-1959,256.9,H, ,Fire, ,BC-1950-1950-G00014, , ,2020-05-05 0:00,585,137,9,9,BC
16,BC,1950-G00019, ,56.568,-120.927,1950,6,1,1950-06-01 0:00,,,1950-1959,76922.703,H, ,Fire, ,BC-1950-1950-G00019, , ,2020-05-05 0:00,585,137,9,9,BC
17,BC,1950-G00027, ,56.492,-121.124,1950,6,7,1950-06-07 0:00,,,1950-1959,781,H, ,Fire, ,BC-1950-1950-G00027, , ,2020-05-05 0:00,585,137,9,9,BC
18,BC,1950-G00033, ,56.376,-120.98,1950,6,12,1950-06-12 0:00,,,1950-1959,1902,H, ,Fire, ,BC-1950-1950-G00033, , ,2020-05-05 0:00,585,137,9,9,BC
19,BC,1950-G00081, ,55.76,-123.626,1950,7,4,1950-07-04 0:00,,,1950-1959,1294.9,L, ,Fire, ,BC-1950-1950-G00081, , ,2020-05-05 0:00,967,200,14,14,BC
20,BC,1953-G00042, ,56.289,-124.017,1953,5,20,1953-05-20 0:00,,,1950-1959,404.6,H, ,Fire, ,BC-1953-1953-G00042, , ,2020-05-05 0:00,967,200,14,14,BC
21,BC,1950-G00080, ,55.992,-121.126,1950,6,29,1950-06-29 0:00,,,1950-1959,242.8,L, ,Fire, ,BC-1950-1950-G00080, , ,2020-05-05 0:00,591,138,9,9,BC
22,BC,1950-G00146, ,55.818,-120.626,1950,9,20,1950-09-20 0:00,,,1950-1959,2929.9,H, ,Fire, ,BC-1950-1950-G00146, , ,2020-05-05 0:00,591,138,9,9,BC
23,BC,1950-G00147, ,56.039,-120.624,1950,9,20,1950-09-20 0:00,,,1950-1959,560.4,H, ,Fire, ,BC-1950-1950-G00147, , ,2020-05-05 0:00,591,138,9,9,BC
24,BC,1950-G00151, ,55.963,-120.73,1950,9,20,1950-09-20 0:00,,,1950-1959,23067.1,H, ,Fire, ,BC-1950-1950-G00151, , ,2020-05-05 0:00,591,138,9,9,BC
25,BC,1950-G00152, ,56.068,-120.48,1950,9,20,1950-09-20 0:00,,,1950-1959,3366.9,H, ,Fire, ,BC-1950-1950-G00152, , ,2020-05-05 0:00,591,138,9,9,BC
26,BC,1950-G00153, ,56.318,-120.73,1950,9,22,1950-09-22 0:00,,,1950-1959,1968.3,H, ,Fire, ,BC-1950-1950-G00153, , ,2020-05-05 0:00,591,138,9,9,BC
27,BC,1950-G00155, ,56.434,-120.48,1950,9,21,1950-09-21 0:00,,,1950-1959,7510.9,H, ,Fire, ,BC-1950-1950-G00155, , ,2020-05-05 0:00,591,138,9,9,BC
28,BC,1950-G00008, ,55.655,-121.678,1950,5,9,1950-05-09 0:00,,,1950-1959,643.4,H, ,Fire, ,BC-1950-1950-G00008, , ,2020-05-05 0:00,591,138,9,9,BC
29,BC,1950-G00017, ,55.655,-120.98,1950,6,1,1950-06-01 0:00,,,1950-1959,647.4,H, ,Fire, ,BC-1950-1950-G00017, , ,2020-05-05 0:00,591,138,9,9,BC
30,BC,1950-G00020, ,55.934,-121.376,1950,6,2,1950-06-02 0:00,,,1950-1959,2428.1,H, ,Fire, ,BC-1950-1950-G00020, , ,2020-05-05 0:00,591,138,9,9,BC
31,BC,1950-G00050, ,55.992,-120.376,1950,6,19,1950-06-19 0:00,,,1950-1959,323.7,H, ,Fire, ,BC-1950-1950-G00050, , ,2020-05-05 0:00,591,138,9,9,BC
32,BC,1952-G00010, ,55.818,-121.428,1952,4,29,1952-04-29 0:00,,,1950-1959,449.2,H, ,Fire, ,BC-1952-1952-G00010, , ,2020-05-05 0:00,591,138,9,9,BC
33,BC,1952-G00019, ,55.742,-121.575,1952,5,8,1952-05-08 0:00,,,1950-1959,874.1,H, ,Fire, ,BC-1952-1952-G00019, , ,2020-05-05 0:00,591,138,9,9,BC
34,BC,1952-G00082, ,56.26,-120.017,1952,5,23,1952-05-23 0:00,,,1950-1959,781,H, ,Fire, ,BC-1952-1952-G00082, , ,2020-05-05 0:00,591,138,9,9,BC
